slug	title	source
broccoli	File:Broccoli and cross section edit.jpg	https://commons.wikimedia.org/wiki/File:Broccoli_and_cross_section_edit.jpg
chickpeas	File:Gram flour AvL.jpg	https://commons.wikimedia.org/wiki/File:Gram_flour_AvL.jpg
lentils	File:Bowl of lentil soup with green and red lentils.jpg	https://commons.wikimedia.org/wiki/File:Bowl_of_lentil_soup_with_green_and_red_lentils.jpg
cauliflower	File:Liat Portal for Foodie Disorder - Cauliflower from San Francisco farmers market.jpg	https://commons.wikimedia.org/wiki/File:Liat_Portal_for_Foodie_Disorder_-_Cauliflower_from_San_Francisco_farmers_market.jpg
banana	File:Banana (white background) sme.jpg, locally processed to transparent PNG	https://commons.wikimedia.org/wiki/File:Banana_(white_background)_sme.jpg
avocado	File:Avocado Hass - single and halved.jpg	https://commons.wikimedia.org/wiki/File:Avocado_Hass_-_single_and_halved.jpg
blueberries	File:Wet blueberries close up.jpg	https://commons.wikimedia.org/wiki/File:Wet_blueberries_close_up.jpg
spinach	File:Spinach leaves.jpg	https://commons.wikimedia.org/wiki/File:Spinach_leaves.jpg
salmon	File:Salmon Fillet (30910417061).jpg	https://commons.wikimedia.org/wiki/File:Salmon_Fillet_(30910417061).jpg
oats	File:Rolled Oats.jpg	https://commons.wikimedia.org/wiki/File:Rolled_Oats.jpg
olive-oil	File:Bottle of olive oil.jpg	https://commons.wikimedia.org/wiki/File:Bottle_of_olive_oil.jpg
walnuts	File:Walnuts.jpg	https://commons.wikimedia.org/wiki/File:Walnuts.jpg
yogurt	File:Yogurt.jpg	https://commons.wikimedia.org/wiki/File:Yogurt.jpg
sweet-potato	File:Sweet potato.jpg	https://commons.wikimedia.org/wiki/File:Sweet_potato.jpg
cacao	File:Cocoa powder.jpg	https://commons.wikimedia.org/wiki/File:Cocoa_powder.jpg
pumpkin-seeds	File:Pumpkin seeds.jpg	https://commons.wikimedia.org/wiki/File:Pumpkin_seeds.jpg
recipe-bowl	File:BuddhaBowlLot.jpg	https://commons.wikimedia.org/wiki/File:BuddhaBowlLot.jpg
recipe-gallery-1	File:Colorful Avocado Toast with Onion, Tomato, and Lemon on Sourdough Bread.jpg	https://commons.wikimedia.org/wiki/File:Colorful_Avocado_Toast_with_Onion,_Tomato,_and_Lemon_on_Sourdough_Bread.jpg
luminaos-logo	App LuminaOS Logo mini.png	/Users/tilmanresch/Projects/LuminaOSMobileApp2026/docs/files/App LuminaOS Logo mini.png
